Thema,Bild,Nummer,Titel,Format,Technik,Jahr,Standort,Preis
LFG,,LFG 012,Figurenspiele in Ocker II,60 x 40 cm,Mischt./Lwd.,2003,missing,450
LFG,,LFG 013,Figurenspiele in Ocker III,60 x 40 cm,Mischt./Lwd.,2003,missing,450
LFG,,LFG 014,Zirkuskinderspiele,85 x 90 cm,Mischt./Lwd.,2000,Luzie,950
LFG,,LFG 015,Kinderspiele,55 x 70 cm,Mischt./Lwd.,2000,Irmgard,550
LFG,,LFG 016,Augenzwinkern,45 x 55 cm,Mischt./Lwd.,2000,Trütstedt,550
LFG,,LFG 017,Indigo gegen Ocker,45 x 55 cm,Mischt./Lwd.,2000,Borghees,550
LFG,,LFG 018,Kleines Herbstbild Vom Wasser gefällt (Gatow) Stroh,40 x 50 cm,Mischt./Lwd.,1999,Borghees,550
LFG,,LFG 019,Gesellschaft der Traumtänzer,40 x 50 cm,Eit./Öl/Lwd.,1995,Trüstedt,850
LFG,,LFG 020,Nächtliche Begegnung,60 x 40 cm,Öl/Lwd.,1998,Luzie,600
LFG,,LFG 021,Traum von Geborgenheit,80 x 100 cm,Öl/Lwd.,1988,Adolf Babel,
LFG,,LFG 022,Für Matti,75 x 80 cm,Öl/Lwd.,1996,verkauft,
LFG,,LFG 023,Gelbmond über grüner Landschaft,30 x 40 cm,Öl/Lwd.,1996,Trütstedt,350
LFG,,LFG 024,Paradiesgärtlein,50 x 70 cm,Öl/Eit./Lwd.,1996,Borghees,400
LFG,,LFG 025,"Eitel, Spiel und Traurigkeit",105 x 125 cm,Öl/Lwd.,1992,Luzie,950
LFG,,LFG 026,Für Luzie,75 x 80 cm,Öl/Lwd.,1994,Borghees,750
LFG,,LFG 027,Fressen und Gefressen werden,55 x 75 cm,Öl/Nessel,1994,Nanni Burkhardt München,
LFG,,LFG 028,Klingsors Garten,180 x 120 cm,Öl/Lwd.,1993/1994,Luzie,1450
LFG,,LFG 029,"Ritter, Tod und Teufel (Apokalypse)",160 x 120 cm,Mischt./Lwd.,1992/1994,Luzie,1250
LFG,,LFG 030,Pfauenfederlandschaft,49 x 41 cm, Öl/Mischt./Lwd.,1993,Borghees,550
LFG,,LFG 031,Mondlandschaft dramatisch,60 x 70 cm,Öl/Eit./Lwd.,1992,Borghees,550
LFG,,LFG 032,Mond in lyrischer Stimmung auf rauhgrau,40 x 55 cm,Mischt./Lwd.,1992,Borghees,300
LFG,,LFG 033,Feuervogel,150 x 120 cm,Öl/Bw.,2015,Luzie,1250
LFG,,LFG 034,Szenerie,60 x 85 cm,Öl/Lwd.,1991,Borghees,750
LFG,,LFG 035,Baum der Erkenntnis,75 x 95 cm,Öl/Lwd.,1990,missing,800
LFG,,LFG 036,Kopfgeburten,125 x 90 cm,Öl/Nessel,1987/1988,Borghees,1100
LFG,,LFG 037,Augenblicke,130 x 95 cm,Öl/Lwd.,1988,Borghees,1250
LFG,,LFG 038,Dittas Traumbild,75 x 95 cm,Öl/Nessel,1986,finnland Tanja Henningsen,
LFG,,LFG 039,Ach - diese Beziehungen,75 x 70 cm,Öl/Papier/Holz,1983,Trüstedt,
LFG,,LFG 040,Als ein Vogel durch's Grasgebüschel gehen,80 x 115 cm,Papier Glasrahmen,1985/1986,B. Lensing (Leihgabe),
LFG,,LFG 041,Musikspuren,100 x 80 cm,Öl/Lwd.,1987,Tillmann Muthesius  Potsdam,
LFG,,LFG  042,Don Quichotte und Rosinante,75 x 95 cm,Öl/Eit./Nessel,1989,"Rosie Nagel, München",
LFG,,LFG  043,Rote Landschaft,,,,,
LFG,,LFG  044,Mädchen Mona Lisa,70 x 50 cm,Öl/Lwd.,Ohne Jahr,Verkauft in St-Matthäus anTamara,
LFG,,LFG  045,Dämmerung,60 x 80 cm,Öl/Lwd.,1989,Privatbesitzer Berlin,
LFG,,LFG  046,Der rote Fisch,75 x 95 cm,Öl/Lwd.,1990,"München B. Donaubauer Elisabeth, Xaver, Josephine",
LFG,,LFG  047,Blaue Stunde (Silhouette Berlin),75 x 95 cm,Öl/Lwd.,1989,,
LFG,,LFG  048,Flug zwischen Planeten,80 x 100 cm,Öl/Lwd.,2018,Luzie,650
LFG,,LFG  049,Lebenstheater,80 x 60 cm,Öl/Nessel,1985,,
LFG,,LFG  050,Nachtbild (bei Pels Leusden),70 x 50 cm,Öl/Lwd.,1984,verkauft an Arch.Köhn,
LFG,,LFG  051,Toteninsel,100 x 70 cm,Acryl/Papier/Holz,1976,Annegret Lensing/Köln,
LFG,,LFG  052,Das kleine Gelb  Aus Triptychon nach Ginas Gedicht,50 x 60 cm,Öl/Lwd.,1996,Labod  Emmerich,
LFG,,LFG  053,Räkelt sich,50 x 60 cm,Öl/Lwd.,1996,Labod  Emmerich,
LFG,,LFG  054,In tintiges Blau Triptychon nach Ginas Gedicht,50 x 60 cm,Öl/Lwd.,1996,Labod  Emmerich,
LFG,,LFG  055,Ultramarin,40 x 40 cm,Öl/Holz,1988/89,DRK Borken,
LFG,,LFG  056,Mond versteckt in Gelb,80 x 75 cm,Mischt./Lwd.,2001,Katja Janson,950
LFG,,LFG  057,Mond versteckt in Silber,80 x 75 cm,Mischt./Lwd.,2001,Tanja Henningsen,950
LFG,kein Bild,LFG  058,Mond verirrt,70 x 80 cm,Öl/Lwd.,2015,Luzie,850
LFG,,LFG 059,Junge im Tiergarten,115 x 130 cm,Öl/Lwd.,2019,Luzie,850
LFG,,LFG 060,circulum vitae,42 x 30 cm,Tempera/Öl/Papier,1983,missing,
LFG,,LFG 061,??,,,,missing,
LFG,,LFG 062,Kleine grüne Landschaft mit Bach,23 x 30 cm,Öl/Lwd.,1995,missing,
LFG,,LFG 063,Licht,,Tempera auf Papier,1983,missing,
LFG,,LFG 064,Traum bei Vollmond,70 x 50 cm,Tempera auf Papier,1984,Mechthild,
LFG,,LFG 065,Mondlandschaft Traum,40 x 60 cm,Öl/Lwd. (Spann),1980er,missing,
LFG,,LFG 066,Novembererde-Novemberhimmel,40 x 60 cm,,2000,missing,
LFG,,LFG 067,Paradiesgärtlein,40 x 60 cm ?,Öl/Lwd.,1997,missing,
LFG,,LFG 068,Unheimliche Geschichte,50 x 60 cm,Öl/Lwd.,1993,missing,
LFG,,LFG 069,Welttheater,,Öl/Lwd.,1985,Bernard Lensing,
LFG,,LFG 070,Totentanz,70 x 100 cm,Acryl/Papier,1974,Bei Sara Palmunen/Helsinki,
LFG,,LFG 071,Gesellschaft der Traumtänzer,ca 50 x 75 cm,Öl/Lwd.,1995/1996,,
LFG,,LFG 072,Traumlandschaft mit Vögeln (in Helsinki) ,60 x 80 cm,Öl/Holz,1986,Tanja hennigs,
LFG,,LFG 073,Der graue Tag,40 x 70 cm,Öl/Lwd.,1989,Hegewald,
LFG,,LFG 074,Landschaft mit Rot,25 x 30 cm,Öl/Lwd.,2000,Norbert,
LFG,,LFG 075,Menschliches Theater,60 x 80 cm,Öl/Lwd.,1983,,
LFG,,LFG 076,Himmelsloch (Erinnerung an ein romantisches Bild im Charlottenburger Schloss),30 x 40 cm,Öl/Nessel,1989,,
LFG,,LFG 077,Landschaft mit Mond,40 x 60 cm,Mischt./Lwd.,1992,,
LFG,,LFG 078,Im Labyrinth der Lüste (erste Fassung),70 x 90 cm,Öl/Papier,1985,,
LFG,,LFG 079,Im Labyrinth der Lüste (zweite Fassung),80 x 115 cm,Öl/Lwd.,1985/1986,,
LFG,,LFG 080,Zerschundene Landschaft mit Mond,45 x 55 cm,Öl/Lwd.,1997,Borghees,500
LFG,,LFG 081,Silbermond,60 x 80 cm,Öl/Lwd.,Ohne Jahr,Luzie,400
MET,,MET 001,Janusderwischentanz,125 x 90 cm,Öl/Nessel,1987/1988,Dr. Ellers Kalkar,
MET,,MET 002,Lw5 S1 (Metamorphose einer Figur),215 x 140 cm,Mischt./Lwd.,1987/1989,Luzie,2550
MET,,MET 003,Ecce homo,115 x 80 cm,Öl/Lwd.,1989,Luzie,800
MET,,MET 004,Wunderbarer Fischzug,40 x 60 cm,Öl/Pap./Holz,1989,verkauft,
MET,,MET 005,Wende,160 x 120 cm,Öl/Lwd.,1989/1990,Borghees,1650
MET,,MET 006,Philemon und Baucis,160 x 120 cm,Öl/Nessel,1990/1991,Luzie,1650
MET,,MET 007,Pegasus' Flügelflattern,160 x 120 cm,Mischt./Lwd.,1991,"Helga Fassbinder,  Amsterdam",
MET,,MET 008,Lokalisation,160 x 120 cm,Öl/Lwd.,1995/1999,Luzie,1650
MET,kein Bild,MET 009,Daphne I,160 x 120 cm,Mischt./Lwd.,1996,"Alex Reinhardt-van Gülpen, Emmerich",
MET,,MET 010,Daphne II,160 x 130 cm,Öl/Lwd.,1998,Isabell Schmidtke,1650
MET,,MET 011,Daphne III,160 x 130 cm,Öl / Lwd.,2000,finnland Tanja Henningsen,1650
MET,,MET 012,Schöpfung aus dem Chaos,160 x 120 cm,Mischt./Lwd.,1996,Borghees,1650
MET,,MET 013,Gaja,160 x 120 cm,Mischt./Lwd.,1996/1998,Luzie,1550
MET,,MET 014,In neue Gestalten verwandelte Wesen will ich besingen I,160 x 120 cm,Öl/Nessel,1991,"Hanne Mader,  Ulf Mader, Freiburg  Berlin",
MET,,MET 015,In neue Gestalten verwandelte Wesen will ich besingen II,160 x 120 cm,Öl/Bw.,1990/1991,,1650
MET,,MET 016,Verliebter Pegasus,160 x 120 cm,Öl/Lwd.,1997/1998,ausleihen von der Sparkasse?,
MET,,MET 017,Das Werk der Medusa,160 x 130 cm,Öl/Lwd.,1997/1998,Luzie,1450
MET,,MET 018,Ort der Fama (Gerüchte),160 x 120 cm,Öl/Lwd.,1997/1998,Borghees,1550
MET,,MET 019,"""Alles ist im Fluss"" (Atl. Ozean)",130 x 160 cm,Mischt./Lwd.,1998,Bartek Widera,1550
MET,,MET 101,Gestalten I,140 x 120 cm,Öl/Nessel,Ohne Jahr,Luzie,300
MET,,MET 102,Gestalten II,155 x 105 cm,Öl/Lwd.,Ohne Jahr,Luzie,400
ORJ,,ORJ 001,Spuren im Schnee,55 x 70 cm,Eit./Öl/Lwd.,2001,Borghees,850
ORJ,,ORJ 002,Felsenküste Camaret,90 x 125 cm,Öl/Lwd.,1988/1989,missing,900
ORJ,,ORJ 003,Olivenhain I,100 x 120 cm,Öl/Lwd.,1994,Frau Richter Trüstedt  Berlin,
ORJ,,ORJ 004,Olivenhain II,100 x 120 cm,Öl/Lwd.,1994,Richter / Trüsted,
ORJ,,ORJ 005,Herbstbild,100 x 120 cm,Öl/Lwd.,1996,Van Aaken,
ORJ,,ORJ 006,Spiegelung II  (Pfütze an der Mauer am Checkpoint Charlie),60 x 60 cm,Öl/Lwd.,1988,,
ORJ,,ORJ 007,Gewitter über Umbrien,120 x 80 cm,Öl/Lwd.,1985,"Verkauft: Norbert Loose, Emmerich",
ORJ,,ORJ 008,Herbstbild mit Höhle,100 x 80 cm,Öl/Lwd.,1986,verkauft  Babel,
ORJ,geht nicht,ORJ 009,Baumblüte im Hohenlohischen,60 x 80 cm,Öl/Lwd.,1986,Annegret Lensing  Bergheim,
ORJ,,ORJ 010,Metamorphose einer Landschaft (nach Tschernobyl),70 x 100 cm,Mischt./Lwd.,1986,Luzie,950
ORJ,,ORJ 011,Juniwiese 86 (Juniblühgräserwiese),60 x 80 cm,Öl/Lwd.,1986,Sparkasse Emmerich,
ORJ,,ORJ 012,Felsenküste bei Camaret Bretagne,75 x 95 cm,Öl/Lwd.,1988/1989,Luzie,850
ORJ,,ORJ 013,Sturmflut Palud Bretagne,40 x 70 cm,Öl/Lwd.,1989,Luzie,550
ORJ,,ORJ 014,Italienische Remineszenzen (Umbrien),"40,5 x 40,5 cm",Öl/Mischt./Lwd.,1991,Spann (Geschenk),
ORJ,,ORJ 015,Fundstücke aus dem Serengeti - Gnuschädel,55 x 75 cm,Mischt./Lwd.,1991,Luzie,650
ORJ,,ORJ 016,Wasserläufe durch okrisches Land,45 x 69 cm,Mischt./Lwd.,1991,Borghees,300
ORJ,,ORJ 017,Herbliches Gestüpp,70 x 50 cm,Mischt./Lwd.,1990/2002,Luzie,500
ORJ,,ORJ 018,Weite Ferne (Nahe Weite),105 x 115 cm,Öl/Nessel,1992,Anne Spee,950
ORJ,,ORJ 019,Verwachsene Landschaft - den Fluß hinabretiben lassen,105 x 115 cm,Öl/Lwd.,1992,Verkauft  Ausst.Botanicum München  Paris,
ORJ,,ORJ 020,Wolkengebirge (Umbrien),41 x 49 cm,Öl/Lwd.,1993,Luzie,450
ORJ,,ORJ 021,Pinzgau im März,100 x 120 cm,Öl/Lwd.,1994,Trüstedt,1100
ORJ,,ORJ 022,Frühling im Pinzgau I,100 x 120 cm,Öl/Lwd.,1994,Trüstedt/Richter  Berlin,
ORJ,,ORJ 023,Frühling im Pinzgau II,100 x 120 cm,Öl/Lwd.,1994,"Reinhardt,  Emmerich",
ORJ,,ORJ 024,Jahreszeiten,100 x 120 cm,Öl/Lwd.,1994,Trüstedt,
ORJ,,ORJ 025,Am Wasser blühend,75 x 70 cm,Öl/Lwd.,1995,Sparkasse Emmerich,
ORJ,,ORJ 026,Fortgeschwemmt (Oderhochwasser),50 x 70 cm,Öl/Lwd.,1996,Borghees,550
ORJ,,ORJ 027,Sudelstrudel (Oderhochwasser),60 x 80 cm,Öl/Lwd.,1996,Borghees,650
ORJ,kein Bild,ORJ 028,Angeschwemmt am Niederrhein,50 x 70 cm,Öl/Lwd.,1997,Ruth,
ORJ,,ORJ 029,"""Alles ist im Fluss"" - Wüste Namibia",130 x 160 cm,Mischt./Lwd.,1994,Borghees,1450
ORJ,,ORJ 030,Voorthuysen im Herbst,100 x 120 cm,Mischt./Lwd.,1996,Gisela Baumann,900
ORJ,,ORJ 031,Herbstliche Spree,100 x 120 cm,Mischt./Lwd.,1999,,
ORJ,,ORJ 032,Gewitter in Manhattan,120 x 80 cm,Öl/Lwd.,2010,Annekatrin Selig,850
ORJ,,ORJ 033,Waldlichtung,120 x 80 cm,Öl/Lwd.,2010/2011,Norbert Loose,950
ORJ,,ORJ 034,Popocapétl (Vulkan in Mexiko),180 x 130 cm,Mischt./Lwd.,2000,Luzie,1450
ORJ,,ORJ 035,Suomi (Finnland),125 x 125 cm,Öl/Lwd.,2002,Clara,1100
ORJ,,ORJ 036,Herbstblätter auf der Spree,60 x 75 cm,Eit./Öl/Lwd.,2007,,
ORJ,,ORJ 037,An der Felsenküste Ios I,200 x 150 cm,Eit./Öl/Lwd.,2008,missing,1250
ORJ,,ORJ 038,An der Felsenküste Ios II,150 x 200 cm,Eit./Öl/Lwd.,2008,Luzie,1250
ORJ,,ORJ 039,Rheinbrücke (Emmerich am Rhein),120 x 80 cm,Öl/Lwd.,2010/2011,Niklas Lensing,850
ORJ,,ORJ 040,Ausflug nach Kremmen,75 x 100 cm,Öl/Lwd.,2017,Borghees,750
ORJ,,ORJ 041,Frühschnee in den Alpen – Tiefes Tal,60 x 80 cm,Öl/Lwd.,2010/2011,Borghees,650
ORJ,,ORJ 042,Frühschnee in den Alpen – Rosa Gipfel,60 x 80 cm,Öl/Lwd.,2010/2011,Borghees,650
ORJ,,ORJ 043,Frühschnee in den Alpen – Beschneite Wipfel,60 x 80 cm,Öl/Lwd.,2010/2011,Borghees,650
ORJ,,ORJ 044,Grüne Landschaft 1,70 x 85 cm,Öl / Bw.,2009,Luzie,650
ORJ,kein Bild,ORJ 045,Grüne Landschaft 2,70 x 85 cm,Öl / Bw.,2009,Dr.Spann  München,
ORJ,,ORJ 046,Indian summer,65 x 80 cm,Öl/Lwd.,2009,Borghees,750
ORJ,,ORJ 047,Spuren im Altschnee,55 x 70 cm,Eit./Öl/Lwd.,2010,Borghees,650
ORJ,,ORJ 048,Spiegelung - Bäume am See,80 x 100 cm,Öl/Lwd.,2010,Luzie,550
ORJ,,ORJ 049,Rheinarm am Niederrhein,80 x 100 cm,Öl/Lwd.,2010,Borghees,500
ORJ,,ORJ 050,Am Ursprung der Menschheit/Afrikanischer Bruch,105 x 105 cm,Öl/Lwd.,2014,Huang Wan-Ling,850
ORJ,,ORJ 051,Baumreihe (mit Wiese) Voorhuysen,,Öl/Lwd.,Ohne Jahr,,
ORJ,,ORJ 052,??,,,,missing,
ORJ,,ORJ 053,Panorama von der Rheinbrücke Rhein-abwärts,42 x 60 cm,Öl/Lwd.,2010/2011,,
ORJ,,ORJ 054,Nach dem Hochwasser im Unteren Odertal,100 x 120 cm,Mischt./Lwd.,1997,Luzie,850
ORJ,,ORJ 055,Tabakscheune I im Oderbruch,60 x 80 cm,Öl/Lwd.,1997,Till Burkhardt,
ORJ,,ORJ 056,Tabakscheune II,50 x 70 cm,Öl/Lwd.,1997,Elisabeth Seifert-van de Loo,
ORJ,,ORJ 057,Nach dem Sturm,85 x 90 cm,Öl/Bw.,2013,missing,850
ORJ,,ORJ 058,Schweineopfer der Göttin Pele,100 x 120 cm,Öl/Lwd.,2015,,
ORJ,,ORJ 059,Ehemalige Botschaft in Berlin-Tiergarten,50 x 70 cm,Öl/Lwd.,1984,"Bes. Faru Helga Stockhoff, Emmerich",
ORJ,,ORJ 060,Fundstücke aus dem Serengeti Gnuschädel,60 x 80 cm,Öl/Lwd.,1986,missing,
ORJ,,ORJ 061,Peles Schweineopfer-Krater,100 x 120 cm,Öl/Lwd.,2010er,missing,
ORJ,,ORJ 062,Landschaft im blauen Licht,80 x 100 cm,Öl/Lwd.,1980,verkauft an fischer ,
ORJ,,ORJ 063,Lichteinfall in herbstliche Landschaft,60 x 80 ?,Öl/Lwd.,1989,Grotjahn,
ORJ,,ORJ 064,Pelion - Die Bucht in Griechenland,,,1984,missing,
ORJ,,ORJ 065,Abers Bretagne (Landschaft Obertal),,,1997,missing,
ORJ,,ORJ 066,Criewen,,Gouache auf Papier,1997,missing,
ORJ,,ORJ 067,Toscana,,,Ohne Jahr,Till Burkhardt,
ORJ,,ORJ 068,Niederrhein von der Brücke,25 x 40 cm,,1998,Bilder für Judith,
ORJ,,ORJ 069,Umbria,,Gouache auf Papier,1994,missing,
ORJ,,ORJ 070,Wasserläufe durchs ockrige Land,45 x 68 cm,Mischtechnik,1991,missing,
ORJ,,ORJ 071,Italienische Landschaft I,25 x 40 cm,,,missing,
ORJ,,ORJ 072,Italienische Landschaft II,25 x 40 cm,,,missing,
ORJ,,ORJ 073,Waserläufe im Grünen,60 x 80 cm,Öl/Lwd.,1990er,missing,
ORJ,,ORJ 074,Vor dem Gewitter (Umbrien),40 x 40 cm,Öl/Lwd.,1991,Borghees,300
ORJ,,ORJ 075,Palazzo bei Padua im Winter,70 x 50 cm,Graphit,1983,missing,
ORJ,,ORJ 076,"""permanente""- Padua im Winter",70 x 50 cm,Tempera/Papier,1984,missing,
ORJ,,ORJ 101,NYC I,100 x 140 cm,MIscht./Lwd.,kein Jahr,Luzie,500
ORJ,,ORJ 102,"NYC Central Park""",100 x 140 cm,MIscht./Lwd.,kein Jahr,Luzie,500
UNY,,UNY001,"90 Henrystr., Brooklyn Heights",70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY002,West Broadway/Grand Street,,Frottage,2000,Luzie,
UNY,,UNY003,Soho NYC,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY004,NYC ELECTRICAL I,65 x 65 cm,Frottage,2000,Luzie,
UNY,,UNY005,Varickstr./Carminestr,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY006,NYC TRAFFIC,78 x 78 cm,Frottage,2000,Luzie,
UNY,,UNY007,Woostr. Soho,118 x 118 cm,Frottage,2000,Luzie,
UNY,,UNY008,Peckslip/Frontsr Fishmarket,100 x 100 cm,Frottage,2001,Luzie,
UNY,,UNY009,Brdw./Grndstr,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY010,Broomestr./Mercerstr. Soho,95 x 95 cm,Frottage,2000,Luzie,
UNY,,UNY011,Middaghstr. Brooklyn,95 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY012,Grndstr. /Woosterstr. Soho,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY013,"Broadway Bronx, 240/241 str",74 x74 cm,Frottage,2001,Luzie,
UNY,,UNY014,Crosby st/Broome st I,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY015,31 Vandam Street,103 x 103 cm,Frottage,2001,Luzie,
UNY,,UNY016,Howardstr. La Fayette,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY017,Willow Street/Orange Street I,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY018,Elisabeth/Kenmare Street,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY019,Grand Street/Centre Street,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY020,Market/Monroe Street,95 x 95 cm,Frottage,2000,Luzie,
UNY,,UNY021,South St/South East River,95 x 95 cm,Frottage,2001,Luzie,
UNY,,UNY022,Spruce St/William St/Pace university.,74 x 74 cm,Frottage,2000,Luzie,
UNY,,UNY023,E 29th/5th Ave.,107 x107 cm,Frottage,2000,Luzie,
UNY,,UNY024,5th Ave. Metropolitan Museum,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY025,Grand/Wooster,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY026,Manhattan Soho/NYC,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY027,WBR-Way/Chambers Street,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY028,Broadway/Grand Street,,Frottage,2000,Luzie,
UNY,,UNY029,Manhattan Barrow Street,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY030,Western,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY031,Parks and Rec,74 x 74 cm,Frottage,2000,Luzie,
UNY,,UNY032,21 Charlton Street,74 x 74 cm,Frottage,2001,Luzie,
UNY,,UNY033,19 Charlton Street,74 x 74 cm,Frottage,2001,Luzie,
UNY,,UNY034,FIRE,95 x 95 cm,Frottage,2000,Luzie,
UNY,,UNY035,Columbia Heights Brooklyn,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY036,mens church institute I,98 x 98 cm,Frottage,2000,Luzie,
UNY,,UNY037,Edison I,95 x 95 cm,Frottage,2000,Luzie,
UNY,,UNY038,Star,100 x 100 cm,Frottage,2000,Luzie,
UNY,,UNY039,519 Broadway,74 x 74 cm,Frottage,2001,Luzie,
UNY,,UNY040,Washington Square,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY041,Broadway/Grand Street II,74 x 74 cm,Frottage,2000,Luzie,
UNY,,UNY042,Thompson/Watts Street Soho I,74 x 74 cm,Frottage,2000,Luzie,
UNY,,UNY043,Edison II,95 x 95 cm,Frottage,2000,Luzie,
UNY,,UNY044,Broadway 550,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY045,NYC ELECTRICAL II,57 x 71 cm,Frottage,2000,Luzie,
UNY,,UNY046,NYM,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY047,Crosby/E. Houston,103 x 103 cm,Frottage,2000,Luzie,
UNY,,UNY048,Houston West Broadway,106 x 106 cm,Frottage,2000,Luzie,
UNY,,UNY049,in Direct Line With Another & the Next,122 x 122 cm,Frottage,2000,Luzie,
UNY,,UNY050,Orange Street,70 x 70 cm,Frottage,2000,Luzie,
UNY,,UNY051,mens church institute II,114 x 114 cm,Frottage,2000,Luzie,
UNY,,UNY052,Irvingplc.,98 x 107 cm,Frottage,2000,Luzie,
UNY,,UNY053,West Housto/Green Street,74 x 74 cm,Frottage,2001,Luzie,
UNY,,UNY054,Broadway/Bronx,,Frottage,2001,Luzie,
UNY,,UNY055,Willow Street/Orange Street II,,Frottage,2000,Luzie,
UNY,,UNY056,Worth Street,84 x 84 cm,Frottage,2000,Luzie,
UNY,,UNY057,Par of the Closters,78 x78 cm,Frottage,2000,Luzie,
UNY,,UNY058,36 Orange Street I,,Frottage,2000,Luzie,
UNY,,UNY059,no name,,Frottage,2000,Luzie,
UNY,,UNY060,5925 Broadway,,Frottage,2001,Luzie,
